X1,fila,ID,fila_final,file_num
13368:,1,13368,528,4
13369:,529,13369,679,4
13370:,680,13370,3395,4
13371:,3396,13371,3508,4
13372:,3509,13372,3867,4
13373:,3868,13373,4154,4
13374:,4155,13374,5009,4
13375:,5010,13375,6167,4
13376:,6168,13376,6288,4
13377:,6289,13377,7337,4
13378:,7338,13378,23891,4
13379:,23892,13379,25936,4
13380:,25937,13380,27713,4
13381:,27714,13381,29225,4
13382:,29226,13382,36000,4
13383:,36001,13383,43603,4
13384:,43604,13384,81488,4
13385:,81489,13385,81719,4
13386:,81720,13386,82109,4
13387:,82110,13387,82359,4
13388:,82360,13388,89325,4
13389:,89326,13389,105939,4
13390:,105940,13390,106337,4
13391:,106338,13391,185282,4
13392:,185283,13392,236133,4
13393:,236134,13393,238705,4
13394:,238706,13394,238896,4
13395:,238897,13395,239053,4
13396:,239054,13396,239154,4
13397:,239155,13397,239298,4
13398:,239299,13398,253096,4
13399:,253097,13399,253200,4
13400:,253201,13400,254584,4
13401:,254585,13401,254704,4
13402:,254705,13402,338269,4
13403:,338270,13403,338490,4
13404:,338491,13404,338914,4
13405:,338915,13405,338944,4
13406:,338945,13406,339211,4
13407:,339212,13407,339380,4
13408:,339381,13408,339705,4
13409:,339706,13409,349562,4
13410:,349563,13410,349829,4
13411:,349830,13411,350004,4
13412:,350005,13412,395171,4
13413:,395172,13413,407310,4
13414:,407311,13414,407460,4
13415:,407461,13415,407586,4
13416:,407587,13416,407975,4
13417:,407976,13417,410932,4
13418:,410933,13418,437827,4
13419:,437828,13419,438832,4
13420:,438833,13420,447974,4
13421:,447975,13421,448171,4
13422:,448172,13422,448299,4
13423:,448300,13423,465422,4
13424:,465423,13424,465528,4
13425:,465529,13425,465706,4
13426:,465707,13426,465809,4
13427:,465810,13427,466316,4
13428:,466317,13428,466435,4
13429:,466436,13429,466564,4
13430:,466565,13430,466942,4
13431:,466943,13431,467032,4
13432:,467033,13432,467219,4
13433:,467220,13433,493994,4
13434:,493995,13434,494166,4
13435:,494167,13435,495417,4
13436:,495418,13436,495883,4
13437:,495884,13437,509383,4
13438:,509384,13438,509621,4
13439:,509622,13439,555505,4
13440:,555506,13440,557294,4
13441:,557295,13441,560352,4
13442:,560353,13442,564584,4
13443:,564585,13443,564724,4
13444:,564725,13444,565430,4
13445:,565431,13445,565609,4
13446:,565610,13446,566125,4
13447:,566126,13447,566252,4
13448:,566253,13448,568369,4
13449:,568370,13449,568470,4
13450:,568471,13450,569439,4
13451:,569440,13451,588930,4
13452:,588931,13452,589075,4
13453:,589076,13453,591743,4
13454:,591744,13454,591874,4
13455:,591875,13455,592045,4
13456:,592046,13456,592168,4
13457:,592169,13457,594831,4
13458:,594832,13458,603882,4
13459:,603883,13459,610488,4
13460:,610489,13460,610707,4
13461:,610708,13461,611108,4
13462:,611109,13462,729993,4
13463:,729994,13463,730939,4
13464:,730940,13464,731082,4
13465:,731083,13465,731336,4
13466:,731337,13466,761532,4
13467:,761533,13467,761665,4
13468:,761666,13468,764772,4
13469:,764773,13469,765903,4
13470:,765904,13470,766025,4
13471:,766026,13471,818983,4
13472:,818984,13472,819611,4
13473:,819612,13473,819741,4
13474:,819742,13474,820282,4
13475:,820283,13475,820576,4
13476:,820577,13476,822390,4
13477:,822391,13477,827409,4
13478:,827410,13478,827456,4
13479:,827457,13479,827672,4
13480:,827673,13480,827861,4
13481:,827862,13481,836860,4
13482:,836861,13482,837061,4
13483:,837062,13483,839153,4
13484:,839154,13484,839751,4
13485:,839752,13485,840814,4
13486:,840815,13486,855872,4
13487:,855873,13487,856025,4
13488:,856026,13488,888071,4
13489:,888072,13489,890427,4
13490:,890428,13490,893657,4
13491:,893658,13491,893800,4
13492:,893801,13492,893988,4
13493:,893989,13493,926960,4
13494:,926961,13494,927273,4
13495:,927274,13495,928330,4
13496:,928331,13496,929856,4
13497:,929857,13497,929949,4
13498:,929950,13498,930090,4
13499:,930091,13499,932320,4
13500:,932321,13500,935727,4
13501:,935728,13501,963090,4
13502:,963091,13502,963983,4
13503:,963984,13503,964088,4
13504:,964089,13504,965681,4
13505:,965682,13505,967421,4
13506:,967422,13506,970281,4
13507:,970282,13507,970506,4
13508:,970507,13508,971577,4
13509:,971578,13509,971869,4
13510:,971870,13510,972213,4
13511:,972214,13511,993413,4
13512:,993414,13512,1011894,4
13513:,1011895,13513,1014356,4
13514:,1014357,13514,1014628,4
13515:,1014629,13515,1014800,4
13516:,1014801,13516,1015871,4
13517:,1015872,13517,1021125,4
13518:,1021126,13518,1023741,4
13519:,1023742,13519,1050344,4
13520:,1050345,13520,1050473,4
13521:,1050474,13521,1050573,4
13522:,1050574,13522,1051734,4
13523:,1051735,13523,1055533,4
13524:,1055534,13524,1098961,4
13525:,1098962,13525,1099087,4
13526:,1099088,13526,1116056,4
13527:,1116057,13527,1116378,4
13528:,1116379,13528,1116818,4
13529:,1116819,13529,1118030,4
13530:,1118031,13530,1118310,4
13531:,1118311,13531,1118441,4
13532:,1118442,13532,1120544,4
13533:,1120545,13533,1120643,4
13534:,1120644,13534,1161420,4
13535:,1161421,13535,1162102,4
13536:,1162103,13536,1162330,4
13537:,1162331,13537,1162490,4
13538:,1162491,13538,1162636,4
13539:,1162637,13539,1165031,4
13540:,1165032,13540,1165513,4
13541:,1165514,13541,1165659,4
13542:,1165660,13542,1180279,4
13543:,1180280,13543,1180555,4
13544:,1180556,13544,1180699,4
13545:,1180700,13545,1180924,4
13546:,1180925,13546,1184421,4
13547:,1184422,13547,1193925,4
13548:,1193926,13548,1195395,4
13549:,1195396,13549,1195663,4
13550:,1195664,13550,1196911,4
13551:,1196912,13551,1206376,4
13552:,1206377,13552,1206508,4
13553:,1206509,13553,1206610,4
13554:,1206611,13554,1206944,4
13555:,1206945,13555,1230947,4
13556:,1230948,13556,1239654,4
13557:,1239655,13557,1244266,4
13558:,1244267,13558,1244507,4
13559:,1244508,13559,1246693,4
13560:,1246694,13560,1246770,4
13561:,1246771,13561,1254313,4
13562:,1254314,13562,1254596,4
13563:,1254597,13563,1254810,4
13564:,1254811,13564,1256286,4
13565:,1256287,13565,1265889,4
13566:,1265890,13566,1266673,4
13567:,1266674,13567,1270313,4
13568:,1270314,13568,1271005,4
13569:,1271006,13569,1273598,4
13570:,1273599,13570,1273849,4
13571:,1273850,13571,1273975,4
13572:,1273976,13572,1276849,4
13573:,1276850,13573,1277771,4
13574:,1277772,13574,1278247,4
13575:,1278248,13575,1278374,4
13576:,1278375,13576,1278952,4
13577:,1278953,13577,1281018,4
13578:,1281019,13578,1281138,4
13579:,1281139,13579,1282894,4
13580:,1282895,13580,1343934,4
13581:,1343935,13581,1345040,4
13582:,1345041,13582,1406735,4
13583:,1406736,13583,1407153,4
13584:,1407154,13584,1418761,4
13585:,1418762,13585,1419268,4
13586:,1419269,13586,1421295,4
13587:,1421296,13587,1421769,4
13588:,1421770,13588,1422913,4
13589:,1422914,13589,1423033,4
13590:,1423034,13590,1423110,4
13591:,1423111,13591,1424913,4
13592:,1424914,13592,1425119,4
13593:,1425120,13593,1484167,4
13594:,1484168,13594,1492731,4
13595:,1492732,13595,1496626,4
13596:,1496627,13596,1497391,4
13597:,1497392,13597,1497515,4
13598:,1497516,13598,1497753,4
13599:,1497754,13599,1498786,4
13600:,1498787,13600,1499396,4
13601:,1499397,13601,1499918,4
13602:,1499919,13602,1510769,4
13603:,1510770,13603,1510945,4
13604:,1510946,13604,1512130,4
13605:,1512131,13605,1521939,4
13606:,1521940,13606,1522189,4
13607:,1522190,13607,1524405,4
13608:,1524406,13608,1524789,4
13609:,1524790,13609,1525224,4
13610:,1525225,13610,1534522,4
13611:,1534523,13611,1534644,4
13612:,1534645,13612,1536787,4
13613:,1536788,13613,1536904,4
13614:,1536905,13614,1627225,4
13615:,1627226,13615,1627417,4
13616:,1627418,13616,1627602,4
13617:,1627603,13617,1627709,4
13618:,1627710,13618,1627813,4
13619:,1627814,13619,1628950,4
13620:,1628951,13620,1630141,4
13621:,1630142,13621,1630524,4
13622:,1630525,13622,1679944,4
13623:,1679945,13623,1680887,4
13624:,1680888,13624,1681147,4
13625:,1681148,13625,1684054,4
13626:,1684055,13626,1684981,4
13627:,1684982,13627,1685642,4
13628:,1685643,13628,1694315,4
13629:,1694316,13629,1719205,4
13630:,1719206,13630,1719551,4
13631:,1719552,13631,1719619,4
13632:,1719620,13632,1719805,4
13633:,1719806,13633,1720845,4
13634:,1720846,13634,1727208,4
13635:,1727209,13635,1728003,4
13636:,1728004,13636,1786276,4
13637:,1786277,13637,1786384,4
13638:,1786385,13638,1789324,4
13639:,1789325,13639,1789576,4
13640:,1789577,13640,1792020,4
13641:,1792021,13641,1794455,4
13642:,1794456,13642,1794537,4
13643:,1794538,13643,1797470,4
13644:,1797471,13644,1800334,4
13645:,1800335,13645,1801558,4
13646:,1801559,13646,1802020,4
13647:,1802021,13647,1802405,4
13648:,1802406,13648,1811468,4
13649:,1811469,13649,1811987,4
13650:,1811988,13650,1813226,4
13651:,1813227,13651,1948240,4
13652:,1948241,13652,1948365,4
13653:,1948366,13653,1949765,4
13654:,1949766,13654,1950456,4
13655:,1950457,13655,1950989,4
13656:,1950990,13656,1952392,4
13657:,1952393,13657,1952588,4
13658:,1952589,13658,1957398,4
13659:,1957399,13659,1957897,4
13660:,1957898,13660,1959232,4
13661:,1959233,13661,1959336,4
13662:,1959337,13662,1960784,4
13663:,1960785,13663,1974619,4
13664:,1974620,13664,1974795,4
13665:,1974796,13665,1975019,4
13666:,1975020,13666,1975349,4
13667:,1975350,13667,1975530,4
13668:,1975531,13668,1975826,4
13669:,1975827,13669,1978497,4
13670:,1978498,13670,1978598,4
13671:,1978599,13671,1978708,4
13672:,1978709,13672,1979322,4
13673:,1979323,13673,2030629,4
13674:,2030630,13674,2033177,4
13675:,2033178,13675,2054519,4
13676:,2054520,13676,2055395,4
13677:,2055396,13677,2055743,4
13678:,2055744,13678,2056197,4
13679:,2056198,13679,2056299,4
13680:,2056300,13680,2056445,4
13681:,2056446,13681,2056737,4
13682:,2056738,13682,2056847,4
13683:,2056848,13683,2058978,4
13684:,2058979,13684,2059049,4
13685:,2059050,13685,2059578,4
13686:,2059579,13686,2059877,4
13687:,2059878,13687,2059960,4
13688:,2059961,13688,2061079,4
13689:,2061080,13689,2061226,4
13690:,2061227,13690,2061368,4
13691:,2061369,13691,2063896,4
13692:,2063897,13692,2064063,4
13693:,2064064,13693,2064208,4
13694:,2064209,13694,2064496,4
13695:,2064497,13695,2076793,4
13696:,2076794,13696,2078183,4
13697:,2078184,13697,2078363,4
13698:,2078364,13698,2079043,4
13699:,2079044,13699,2079241,4
13700:,2079242,13700,2079478,4
13701:,2079479,13701,2079570,4
13702:,2079571,13702,2085441,4
13703:,2085442,13703,2085624,4
13704:,2085625,13704,2086102,4
13705:,2086103,13705,2147678,4
13706:,2147679,13706,2148257,4
13707:,2148258,13707,2151422,4
13708:,2151423,13708,2151880,4
13709:,2151881,13709,2154033,4
13710:,2154034,13710,2154807,4
13711:,2154808,13711,2155414,4
13712:,2155415,13712,2159948,4
13713:,2159949,13713,2160217,4
13714:,2160218,13714,2161879,4
13715:,2161880,13715,2162033,4
13716:,2162034,13716,2162135,4
13717:,2162136,13717,2162550,4
13718:,2162551,13718,2163183,4
13719:,2163184,13719,2163396,4
13720:,2163397,13720,2163755,4
13721:,2163756,13721,2164796,4
13722:,2164797,13722,2165026,4
13723:,2165027,13723,2165994,4
13724:,2165995,13724,2166115,4
13725:,2166116,13725,2166708,4
13726:,2166709,13726,2172342,4
13727:,2172343,13727,2172452,4
13728:,2172453,13728,2323045,4
13729:,2323046,13729,2324687,4
13730:,2324688,13730,2324845,4
13731:,2324846,13731,2324999,4
13732:,2325000,13732,2325123,4
13733:,2325124,13733,2325414,4
13734:,2325415,13734,2325891,4
13735:,2325892,13735,2326087,4
13736:,2326088,13736,2330734,4
13737:,2330735,13737,2333046,4
13738:,2333047,13738,2339555,4
13739:,2339556,13739,2340471,4
13740:,2340472,13740,2340587,4
13741:,2340588,13741,2340691,4
