X1,fila,ID
1:,1,1
2:,549,2
3:,695,3
4:,2708,4
5:,2851,5
6:,3992,6
7:,5012,7
8:,5106,8
9:,20017,9
10:,20113,10
11:,20363,11
12:,20562,12
13:,21109,13
14:,21235,14
15:,21354,15
16:,21645,16
17:,24345,17
18:,31454,18
19:,42177,19
20:,42717,20
21:,42834,21
22:,43053,22
23:,43257,23
24:,43873,24
25:,45207,25
26:,46415,26
27:,52277,27
28:,52551,28
29:,92304,29
30:,92828,30
31:,211242,31
32:,211464,32
33:,213319,33
34:,220210,34
35:,220319,35
36:,221159,36
37:,222099,37
38:,222381,38
39:,223184,39
40:,223937,40
41:,224429,41
42:,224523,42
43:,224652,43
44:,224758,44
45:,233260,45
46:,235880,46
47:,242439,47
48:,244790,48
49:,248382,49
50:,248614,50
51:,248943,51
52:,249034,52
53:,254182,53
54:,254297,54
55:,254457,55
56:,256864,56
57:,258698,57
58:,262261,58
59:,279667,59
60:,279872,60
61:,280168,61
62:,280316,62
63:,280607,63
64:,280792,64
65:,280888,65
66:,281147,66
67:,281314,67
68:,281604,68
69:,283821,69
70:,283938,70
71:,284282,71
72:,285844,72
73:,286024,73
74:,286772,74
75:,287161,75
76:,287381,76
77:,290336,77
78:,303935,78
79:,308786,79
80:,312184,80
81:,312459,81
82:,313709,82
83:,313829,83
84:,332554,84
85:,335307,85
86:,335574,86
87:,335751,87
88:,335869,88
89:,336848,89
90:,337727,90
91:,338353,91
92:,338921,92
93:,339083,93
94:,339258,94
95:,339601,95
96:,340537,96
97:,341026,97
98:,352535,98
99:,352666,99
100:,352793,100
101:,352872,101
102:,353203,102
103:,353534,103
104:,353744,104
105:,357245,105
106:,357438,106
107:,358379,107
108:,359209,108
109:,378228,109
110:,378774,110
111:,380934,111
112:,411062,112
113:,411302,113
114:,412696,114
115:,413125,115
116:,413792,116
117:,414919,117
118:,415901,118
119:,435142,119
120:,435239,120
121:,435579,121
122:,435679,122
123:,439062,123
124:,439339,124
125:,439509,125
126:,441239,126
127:,442424,127
128:,445439,128
129:,445857,129
130:,446614,130
131:,446701,131
132:,447407,132
133:,448238,133
134:,450802,134
135:,450902,135
136:,451287,136
137:,451408,137
138:,451613,138
139:,457621,139
140:,457718,140
141:,457838,141
142:,457965,142
143:,458292,143
144:,496655,144
145:,496945,145
146:,497401,146
147:,497768,147
148:,497900,148
